name,local_ver,pypi_ver,releases,dl_day,dl_week,dl_month,score,server_json_ver,surface_cov,surfaces,readme,tests,auth_mw,license,smithery,wellknown,server_py,dir
dora-compliance-mcp,1.4.10,1.4.10,30,165,1515,2841,90,1.4.10,7,,True,True,True,True,True,True,True,dora-compliance-mcp
cra-compliance-mcp,1.3.9,1.3.9,23,156,1206,2048,90,1.3.9,7,,True,True,True,True,True,True,True,cra-compliance-mcp
ai-bom-mcp,1.2.17,1.2.17,21,126,952,1965,84,1.2.17,7,,True,True,True,True,True,True,True,ai-bom-mcp
iso-42001-ai-mcp,1.1.7,1.1.7,19,165,1241,1871,86,1.1.7,7,,True,True,True,True,True,True,True,iso-42001-ai-mcp
bias-detection-mcp,1.2.3,1.2.3,16,127,764,1823,90,1.2.3,7,,True,True,True,True,True,True,True,bias-detection-mcp
meok-cra-annex-iv-classifier-mcp,1.1.6,1.1.6,12,80,623,1576,90,1.1.6,7,,True,True,False,True,True,True,True,meok-cra-annex-iv-classifier-mcp
meok-governance-engine-mcp,1.0.17,1.0.17,18,17,640,1452,74,1.0.17,7,,True,True,True,True,True,True,True,meok-governance-engine-mcp
canada-aida-ai-mcp,1.0.13,1.0.13,14,113,734,1354,86,1.0.13,7,,True,True,True,True,True,True,True,canada-aida-ai-mcp
security-scanner-ai-mcp,1.0.11,1.0.11,11,23,674,1267,74,1.0.11,7,,True,True,True,True,True,True,True,security-scanner-ai-mcp
meok-mcp-injection-scan-mcp,1.0.12,1.0.12,13,63,589,1265,90,1.0.12,7,,True,True,False,True,True,True,True,meok-mcp-injection-scan-mcp
patient-safety-ai-mcp,1.0.11,1.0.11,11,18,500,1229,86,1.0.11,7,,True,True,True,True,True,True,True,patient-safety-ai-mcp
ai-self-audit-mcp,1.0.12,1.0.12,13,111,594,1198,86,1.0.12,7,,True,True,True,True,True,True,True,ai-self-audit-mcp
csoai-governance-crosswalk-mcp,1.0.13,1.0.13,14,100,774,1181,86,1.0.13,7,,True,True,True,True,True,True,True,csoai-governance-crosswalk-mcp
database-universal-mcp,1.0.12,1.0.12,11,101,668,1137,74,1.0.12,7,,True,True,True,True,True,True,True,database-universal-mcp
construction-iso-19650-mcp,1.0.7,1.0.7,8,96,495,1073,90,1.0.7,7,,True,True,False,True,True,True,True,construction-iso-19650-mcp
translation-ai-mcp,1.0.10,1.0.10,10,8,702,1059,86,1.0.10,7,,True,True,True,True,True,True,True,translation-ai-mcp
agent-data-residency-mcp,1.0.6,1.0.6,7,107,431,1042,90,1.0.6,7,,True,True,False,True,True,True,True,agent-data-residency-mcp
haulage-uk-compliance-mcp,1.0.7,1.0.7,8,122,503,1041,90,1.0.7,7,,True,True,False,True,True,True,True,haulage-uk-compliance-mcp
dockerfile-generator-ai-mcp,1.0.10,1.0.10,10,113,527,1030,86,1.0.10,7,,True,True,True,True,True,True,True,dockerfile-generator-ai-mcp
code-reviewer-ai-mcp,1.0.10,1.0.10,10,93,427,1027,86,1.0.10,7,,True,True,True,True,True,True,True,code-reviewer-ai-mcp
hipaa-compliance-mcp,1.0.11,1.0.11,12,126,582,1001,86,1.0.11,7,,True,True,True,True,True,True,True,hipaa-compliance-mcp
meok-nis2-de-register-mcp,1.0.10,1.0.10,11,71,431,973,90,1.0.10,7,,True,True,False,True,True,True,True,meok-nis2-de-register-mcp
code-executor-mcp,1.0.10,1.0.10,10,96,455,967,74,1.0.10,7,,True,True,True,True,True,True,True,code-executor-mcp
